City	State	Year	Est. Population
Juneau city and borough	Alaska	2010	31275
Juneau city and borough	Alaska	2011	31388
Juneau city and borough	Alaska	2012	32186
Juneau city and borough	Alaska	2013	32443
Juneau city and borough	Alaska	2014	32645
Juneau city and borough	Alaska	2015	32625
Sitka city and borough	Alaska	2010	8881
Sitka city and borough	Alaska	2011	8898
Sitka city and borough	Alaska	2012	8914
Sitka city and borough	Alaska	2013	9054
Sitka city and borough	Alaska	2014	9003
Sitka city and borough	Alaska	2015	8881
Wrangell city and borough	Alaska	2010	2365
Wrangell city and borough	Alaska	2011	2370
Wrangell city and borough	Alaska	2012	2385
Wrangell city and borough	Alaska	2013	2401
Wrangell city and borough	Alaska	2014	2408
Wrangell city and borough	Alaska	2015	2360
Juneau city and borough	Alaska	2010	31275
Juneau city and borough	Alaska	2011	31388
Juneau city and borough	Alaska	2012	32186
Juneau city and borough	Alaska	2013	32443
Juneau city and borough	Alaska	2014	32645
Juneau city and borough	Alaska	2015	32625
Sitka city and borough	Alaska	2010	8881
Sitka city and borough	Alaska	2011	8898
Sitka city and borough	Alaska	2012	8914
Sitka city and borough	Alaska	2013	9054
Sitka city and borough	Alaska	2014	9003
Sitka city and borough	Alaska	2015	8881
Wrangell city and borough	Alaska	2010	2365
Wrangell city and borough	Alaska	2011	2370
Wrangell city and borough	Alaska	2012	2385
Wrangell city and borough	Alaska	2013	2401
Wrangell city and borough	Alaska	2014	2408
Wrangell city and borough	Alaska	2015	2360
Bantam borough	Connecticut	2010	759
Bantam borough	Connecticut	2011	758
Bantam borough	Connecticut	2012	755
Bantam borough	Connecticut	2013	750
Bantam borough	Connecticut	2014	747
Bantam borough	Connecticut	2015	740
Danielson borough	Connecticut	2010	4051
Danielson borough	Connecticut	2011	4052
Danielson borough	Connecticut	2012	4049
Danielson borough	Connecticut	2013	4026
Danielson borough	Connecticut	2014	4018
Danielson borough	Connecticut	2015	3997
Fenwick borough	Connecticut	2010	43
Fenwick borough	Connecticut	2011	43
Fenwick borough	Connecticut	2012	43
Fenwick borough	Connecticut	2013	43
Fenwick borough	Connecticut	2014	43
Fenwick borough	Connecticut	2015	44
Groton Long Point borough	Connecticut	2010	518
Groton Long Point borough	Connecticut	2011	519
Groton Long Point borough	Connecticut	2012	518
Groton Long Point borough	Connecticut	2013	519
Groton Long Point borough	Connecticut	2014	516
Groton Long Point borough	Connecticut	2015	516
Jewett City borough	Connecticut	2010	3487
Jewett City borough	Connecticut	2011	3488
Jewett City borough	Connecticut	2012	3484
Jewett City borough	Connecticut	2013	3493
Jewett City borough	Connecticut	2014	3477
Jewett City borough	Connecticut	2015	3463
Litchfield borough	Connecticut	2010	1258
Litchfield borough	Connecticut	2011	1257
Litchfield borough	Connecticut	2012	1245
Litchfield borough	Connecticut	2013	1238
Litchfield borough	Connecticut	2014	1236
Litchfield borough	Connecticut	2015	1223
Naugatuck borough	Connecticut	2010	31884
Naugatuck borough	Connecticut	2011	31887
Naugatuck borough	Connecticut	2012	31835
Naugatuck borough	Connecticut	2013	31808
Naugatuck borough	Connecticut	2014	31753
Naugatuck borough	Connecticut	2015	31657
Newtown borough	Connecticut	2010	1934
Newtown borough	Connecticut	2011	1938
Newtown borough	Connecticut	2012	1954
Newtown borough	Connecticut	2013	1966
Newtown borough	Connecticut	2014	1969
Newtown borough	Connecticut	2015	1969
Stonington borough	Connecticut	2010	929
Stonington borough	Connecticut	2011	927
Stonington borough	Connecticut	2012	924
Stonington borough	Connecticut	2013	927
Stonington borough	Connecticut	2014	922
Stonington borough	Connecticut	2015	916
Woodmont borough	Connecticut	2010	1488
Woodmont borough	Connecticut	2011	1489
Woodmont borough	Connecticut	2012	1490
Woodmont borough	Connecticut	2013	1492
Woodmont borough	Connecticut	2014	1496
Woodmont borough	Connecticut	2015	1501
Woodmont borough	Connecticut	2010	1488
Woodmont borough	Connecticut	2011	1489
Woodmont borough	Connecticut	2012	1490
Woodmont borough	Connecticut	2013	1492
Woodmont borough	Connecticut	2014	1496
Woodmont borough	Connecticut	2015	1501
Newtown borough	Connecticut	2010	1934
Newtown borough	Connecticut	2011	1938
Newtown borough	Connecticut	2012	1954
Newtown borough	Connecticut	2013	1966
Newtown borough	Connecticut	2014	1969
Newtown borough	Connecticut	2015	1969
Newtown borough	Connecticut	2010	1934
Newtown borough	Connecticut	2011	1938
Newtown borough	Connecticut	2012	1954
Newtown borough	Connecticut	2013	1966
Newtown borough	Connecticut	2014	1969
Newtown borough	Connecticut	2015	1969
Bantam borough	Connecticut	2010	759
Bantam borough	Connecticut	2011	758
Bantam borough	Connecticut	2012	755
Bantam borough	Connecticut	2013	750
Bantam borough	Connecticut	2014	747
Bantam borough	Connecticut	2015	740
Litchfield borough	Connecticut	2010	1258
Litchfield borough	Connecticut	2011	1257
Litchfield borough	Connecticut	2012	1245
Litchfield borough	Connecticut	2013	1238
Litchfield borough	Connecticut	2014	1236
Litchfield borough	Connecticut	2015	1223
Bantam borough	Connecticut	2010	759
Bantam borough	Connecticut	2011	758
