City	State	Year	Est. Population
Millbrook city (pt.)	Alabama	2010	144
Millbrook city (pt.)	Alabama	2011	144
Millbrook city (pt.)	Alabama	2012	145
Millbrook city (pt.)	Alabama	2013	144
Millbrook city (pt.)	Alabama	2014	144
Millbrook city (pt.)	Alabama	2015	146
Prattville city (pt.)	Alabama	2010	32194
Prattville city (pt.)	Alabama	2011	32269
Prattville city (pt.)	Alabama	2012	32798
Prattville city (pt.)	Alabama	2013	32844
Prattville city (pt.)	Alabama	2014	33117
Prattville city (pt.)	Alabama	2015	33370
Vance town (pt.)	Alabama	2010	49
Vance town (pt.)	Alabama	2011	49
Vance town (pt.)	Alabama	2012	48
Vance town (pt.)	Alabama	2013	48
Vance town (pt.)	Alabama	2014	48
Vance town (pt.)	Alabama	2015	48
Woodstock town (pt.)	Alabama	2010	1320
Woodstock town (pt.)	Alabama	2011	1319
Woodstock town (pt.)	Alabama	2012	1323
Woodstock town (pt.)	Alabama	2013	1340
Woodstock town (pt.)	Alabama	2014	1362
Woodstock town (pt.)	Alabama	2015	1399
Altoona town (pt.)	Alabama	2010	30
Altoona town (pt.)	Alabama	2011	30
Altoona town (pt.)	Alabama	2012	30
Altoona town (pt.)	Alabama	2013	30
Altoona town (pt.)	Alabama	2014	30
Altoona town (pt.)	Alabama	2015	30
County Line town (pt.)	Alabama	2010	197
County Line town (pt.)	Alabama	2011	197
County Line town (pt.)	Alabama	2012	199
County Line town (pt.)	Alabama	2013	199
County Line town (pt.)	Alabama	2014	201
County Line town (pt.)	Alabama	2015	201
McKenzie town (pt.)	Alabama	2010	522
McKenzie town (pt.)	Alabama	2011	522
McKenzie town (pt.)	Alabama	2012	516
McKenzie town (pt.)	Alabama	2013	509
McKenzie town (pt.)	Alabama	2014	507
McKenzie town (pt.)	Alabama	2015	507
Glencoe city (pt.)	Alabama	2010	38
Glencoe city (pt.)	Alabama	2011	38
Glencoe city (pt.)	Alabama	2012	38
Glencoe city (pt.)	Alabama	2013	38
Glencoe city (pt.)	Alabama	2014	37
Glencoe city (pt.)	Alabama	2015	37
Oxford city (pt.)	Alabama	2010	17186
Oxford city (pt.)	Alabama	2011	17186
Oxford city (pt.)	Alabama	2012	17164
