City	State	Year	Est. Population
Addison town	Alabama	2010	756
Addison town	Alabama	2011	754
Addison town	Alabama	2012	753
Addison town	Alabama	2013	748
Addison town	Alabama	2014	748
Addison town	Alabama	2015	747
Akron town	Alabama	2010	356
Akron town	Alabama	2011	355
Akron town	Alabama	2012	345
Akron town	Alabama	2013	345
Akron town	Alabama	2014	342
Akron town	Alabama	2015	338
Allgood town	Alabama	2010	622
Allgood town	Alabama	2011	623
Allgood town	Alabama	2012	627
Allgood town	Alabama	2013	628
Allgood town	Alabama	2014	628
Allgood town	Alabama	2015	627
Altoona town	Alabama	2010	937
Altoona town	Alabama	2011	937
Altoona town	Alabama	2012	935
Altoona town	Alabama	2013	934
Altoona town	Alabama	2014	931
Altoona town	Alabama	2015	927
Anderson town	Alabama	2010	282
Anderson town	Alabama	2011	282
Anderson town	Alabama	2012	281
Anderson town	Alabama	2013	280
Anderson town	Alabama	2014	279
Anderson town	Alabama	2015	279
Ardmore town	Alabama	2010	1194
Ardmore town	Alabama	2011	1203
Ardmore town	Alabama	2012	1248
Ardmore town	Alabama	2013	1276
Ardmore town	Alabama	2014	1305
Ardmore town	Alabama	2015	1340
Argo town	Alabama	2010	4071
Argo town	Alabama	2011	4079
Argo town	Alabama	2012	4094
Argo town	Alabama	2013	4127
Argo town	Alabama	2014	4179
Argo town	Alabama	2015	4181
Ariton town	Alabama	2010	762
Ariton town	Alabama	2011	763
Ariton town	Alabama	2012	756
Ariton town	Alabama	2013	759
Ariton town	Alabama	2014	750
Ariton town	Alabama	2015	745
Arley town	Alabama	2010	359
Arley town	Alabama	2011	358
Arley town	Alabama	2012	358
Arley town	Alabama	2013	355
Arley town	Alabama	2014	355
Arley town	Alabama	2015	355
Ashford town	Alabama	2010	2139
Ashford town	Alabama	2011	2142
Ashford town	Alabama	2012	2152
Ashford town	Alabama	2013	2168
Ashford town	Alabama	2014	2158
Ashford town	Alabama	2015	2162
Ashland town	Alabama	2010	2037
Ashland town	Alabama	2011	2030
Ashland town	Alabama	2012	2003
Ashland town	Alabama	2013	1972
Ashland town	Alabama	2014	1972
Ashland town	Alabama	2015	1982
Autaugaville town	Alabama	2010	879
Autaugaville town	Alabama	2011	880
Autaugaville town	Alabama	2012	882
Autaugaville town	Alabama	2013	878
Autaugaville town	Alabama	2014	861
Autaugaville town	Alabama	2015	862
Avon town	Alabama	2010	543
Avon town	Alabama	2011	544
Avon town	Alabama	2012	543
Avon town	Alabama	2013	544
Avon town	Alabama	2014	538
Avon town	Alabama	2015	535
Babbie town	Alabama	2010	603
Babbie town	Alabama	2011	604
Babbie town	Alabama	2012	608
Babbie town	Alabama	2013	605
Babbie town	Alabama	2014	606
Babbie town	Alabama	2015	607
Baileyton town	Alabama	2010	614
Baileyton town	Alabama	2011	614
Baileyton town	Alabama	2012	615
Baileyton town	Alabama	2013	613
Baileyton town	Alabama	2014	616
Baileyton town	Alabama	2015	619
Bakerhill town	Alabama	2010	279
Bakerhill town	Alabama	2011	278
Bakerhill town	Alabama	2012	275
Bakerhill town	Alabama	2013	273
Bakerhill town	Alabama	2014	270
Bakerhill town	Alabama	2015	269
Banks town	Alabama	2010	179
Banks town	Alabama	2011	179
Banks town	Alabama	2012	179
Banks town	Alabama	2013	180
Banks town	Alabama	2014	176
Banks town	Alabama	2015	174
Bear Creek town	Alabama	2010	1068
Bear Creek town	Alabama	2011	1069
Bear Creek town	Alabama	2012	1065
Bear Creek town	Alabama	2013	1058
Bear Creek town	Alabama	2014	1050
Bear Creek town	Alabama	2015	1050
Beatrice town	Alabama	2010	302
Beatrice town	Alabama	2011	301
Beatrice town	Alabama	2012	299
Beatrice town	Alabama	2013	296
Beatrice town	Alabama	2014	291
Beatrice town	Alabama	2015	288
Beaverton town	Alabama	2010	195
Beaverton town	Alabama	2011	194
Beaverton town	Alabama	2012	191
Beaverton town	Alabama	2013	191
Beaverton town	Alabama	2014	190
Beaverton town	Alabama	2015	189
Belk town	Alabama	2010	215
Belk town	Alabama	2011	215
Belk town	Alabama	2012	213
Belk town	Alabama	2013	212
Belk town	Alabama	2014	211
Belk town	Alabama	2015	211
Benton town	Alabama	2010	49
Benton town	Alabama	2011	49
Benton town	Alabama	2012	48
Benton town	Alabama	2013	47
Benton town	Alabama	2014	47
Benton town	Alabama	2015	46
Berry town	Alabama	2010	1148
Berry town	Alabama	2011	1148
Berry town	Alabama	2012	1135
Berry town	Alabama	2013	1127
Berry town	Alabama	2014	1119
Berry town	Alabama	2015	1118
Billingsley town	Alabama	2010	144
Billingsley town	Alabama	2011	144
Billingsley town	Alabama	2012	145
Billingsley town	Alabama	2013	144
Billingsley town	Alabama	2014	142
Billingsley town	Alabama	2015	142
Black town	Alabama	2010	207
Black town	Alabama	2011	207
Black town	Alabama	2012	207
Black town	Alabama	2013	209
Black town	Alabama	2014	207
Black town	Alabama	2015	207
Blountsville town	Alabama	2010	1684
Blountsville town	Alabama	2011	1686
Blountsville town	Alabama	2012	1694
Blountsville town	Alabama	2013	1695
Blountsville town	Alabama	2014	1697
Blountsville town	Alabama	2015	1696
