City	State	Year	Est. Population
Beverly township	Illinois	2010	406
Beverly township	Illinois	2011	406
Beverly township	Illinois	2012	403
Beverly township	Illinois	2013	401
Beverly township	Illinois	2014	397
Beverly township	Illinois	2015	396
Burton township	Illinois	2010	909
Burton township	Illinois	2011	909
Burton township	Illinois	2012	905
Burton township	Illinois	2013	903
Burton township	Illinois	2014	897
Burton township	Illinois	2015	896
Camp Point township	Illinois	2010	1632
Camp Point township	Illinois	2011	1633
Camp Point township	Illinois	2012	1629
Camp Point township	Illinois	2013	1631
Camp Point township	Illinois	2014	1624
Camp Point township	Illinois	2015	1626
Balance of Camp Point township	Illinois	2010	500
Balance of Camp Point township	Illinois	2011	500
Balance of Camp Point township	Illinois	2012	499
Balance of Camp Point township	Illinois	2013	500
Balance of Camp Point township	Illinois	2014	497
Balance of Camp Point township	Illinois	2015	498
Clayton township	Illinois	2010	1027
Clayton township	Illinois	2011	1027
Clayton township	Illinois	2012	1024
Clayton township	Illinois	2013	1023
Clayton township	Illinois	2014	1066
Clayton township	Illinois	2015	1065
Balance of Clayton township	Illinois	2010	296
Balance of Clayton township	Illinois	2011	296
Balance of Clayton township	Illinois	2012	295
Balance of Clayton township	Illinois	2013	296
Balance of Clayton township	Illinois	2014	295
Balance of Clayton township	Illinois	2015	295
Columbus township	Illinois	2010	551
Columbus township	Illinois	2011	551
Columbus township	Illinois	2012	550
Columbus township	Illinois	2013	551
Columbus township	Illinois	2014	549
Columbus township	Illinois	2015	549
Balance of Columbus township	Illinois	2010	487
Balance of Columbus township	Illinois	2011	487
Balance of Columbus township	Illinois	2012	486
Balance of Columbus township	Illinois	2013	487
Balance of Columbus township	Illinois	2014	485
Balance of Columbus township	Illinois	2015	485
Concord township	Illinois	2010	287
Concord township	Illinois	2011	287
Concord township	Illinois	2012	286
Concord township	Illinois	2013	287
Concord township	Illinois	2014	286
Concord township	Illinois	2015	286
Ellington township	Illinois	2010	2862
Ellington township	Illinois	2011	2863
Ellington township	Illinois	2012	2854
Ellington township	Illinois	2013	2854
Ellington township	Illinois	2014	2840
Ellington township	Illinois	2015	2841
Fall Creek township	Illinois	2010	529
Fall Creek township	Illinois	2011	529
Fall Creek township	Illinois	2012	528
Fall Creek township	Illinois	2013	528
Fall Creek township	Illinois	2014	524
Fall Creek township	Illinois	2015	522
Gilmer township	Illinois	2010	1128
Gilmer township	Illinois	2011	1129
Gilmer township	Illinois	2012	1126
Gilmer township	Illinois	2013	1127
Gilmer township	Illinois	2014	1120
Gilmer township	Illinois	2015	1119
Balance of Gilmer township	Illinois	2010	1093
Balance of Gilmer township	Illinois	2011	1094
Balance of Gilmer township	Illinois	2012	1091
Balance of Gilmer township	Illinois	2013	1092
Balance of Gilmer township	Illinois	2014	1085
Balance of Gilmer township	Illinois	2015	1084
Honey Creek township	Illinois	2010	720
Honey Creek township	Illinois	2011	720
Honey Creek township	Illinois	2012	719
Honey Creek township	Illinois	2013	719
Honey Creek township	Illinois	2014	716
Honey Creek township	Illinois	2015	717
Balance of Honey Creek township	Illinois	2010	573
Balance of Honey Creek township	Illinois	2011	573
Balance of Honey Creek township	Illinois	2012	572
Balance of Honey Creek township	Illinois	2013	572
Balance of Honey Creek township	Illinois	2014	570
Balance of Honey Creek township	Illinois	2015	571
Houston township	Illinois	2010	221
Houston township	Illinois	2011	221
Houston township	Illinois	2012	221
Houston township	Illinois	2013	221
Houston township	Illinois	2014	220
Houston township	Illinois	2015	220
Balance of Houston township	Illinois	2010	221
Balance of Houston township	Illinois	2011	221
Balance of Houston township	Illinois	2012	221
Balance of Houston township	Illinois	2013	221
Balance of Houston township	Illinois	2014	220
Balance of Houston township	Illinois	2015	220
Keene township	Illinois	2010	604
Keene township	Illinois	2011	604
Keene township	Illinois	2012	602
Keene township	Illinois	2013	604
Keene township	Illinois	2014	601
