City	State	Year	Est. Population
Arden village	Delaware	2010	439
Arden village	Delaware	2011	439
Arden village	Delaware	2012	441
Arden village	Delaware	2013	444
Arden village	Delaware	2014	446
Arden village	Delaware	2015	449
Ardencroft village	Delaware	2010	231
Ardencroft village	Delaware	2011	231
Ardencroft village	Delaware	2012	232
Ardencroft village	Delaware	2013	233
Ardencroft village	Delaware	2014	234
Ardencroft village	Delaware	2015	234
Ardentown village	Delaware	2010	264
Ardentown village	Delaware	2011	264
Ardentown village	Delaware	2012	265
Ardentown village	Delaware	2013	267
Ardentown village	Delaware	2014	269
Ardentown village	Delaware	2015	271
Arden village	Delaware	2010	439
Arden village	Delaware	2011	439
Arden village	Delaware	2012	441
Arden village	Delaware	2013	444
Arden village	Delaware	2014	446
Arden village	Delaware	2015	449
Ardencroft village	Delaware	2010	231
Ardencroft village	Delaware	2011	231
Ardencroft village	Delaware	2012	232
Ardencroft village	Delaware	2013	233
Ardencroft village	Delaware	2014	234
Ardencroft village	Delaware	2015	234
Ardentown village	Delaware	2010	264
Ardentown village	Delaware	2011	264
Ardentown village	Delaware	2012	265
Ardentown village	Delaware	2013	267
Ardentown village	Delaware	2014	269
Ardentown village	Delaware	2015	271
Bal Harbour village	Florida	2010	2514
Bal Harbour village	Florida	2011	2524
Bal Harbour village	Florida	2012	2590
Bal Harbour village	Florida	2013	2616
Bal Harbour village	Florida	2014	2635
Bal Harbour village	Florida	2015	2640
Biscayne Park village	Florida	2010	3074
Biscayne Park village	Florida	2011	3085
Biscayne Park village	Florida	2012	3162
Biscayne Park village	Florida	2013	3189
Biscayne Park village	Florida	2014	3210
Biscayne Park village	Florida	2015	3211
El Portal village	Florida	2010	2395
El Portal village	Florida	2011	2403
El Portal village	Florida	2012	2461
El Portal village	Florida	2013	2481
El Portal village	Florida	2014	2493
El Portal village	Florida	2015	2490
Estero village	Florida	2010	28102
Estero village	Florida	2011	28158
Estero village	Florida	2012	28528
Estero village	Florida	2013	28991
Estero village	Florida	2014	29530
Estero village	Florida	2015	30074
Golf village	Florida	2010	252
Golf village	Florida	2011	253
Golf village	Florida	2012	255
Golf village	Florida	2013	260
Golf village	Florida	2014	262
Golf village	Florida	2015	266
Highland Park village	Florida	2010	230
Highland Park village	Florida	2011	230
Highland Park village	Florida	2012	233
Highland Park village	Florida	2013	235
Highland Park village	Florida	2014	238
Highland Park village	Florida	2015	243
Indian Creek village	Florida	2010	86
Indian Creek village	Florida	2011	86
Indian Creek village	Florida	2012	89
Indian Creek village	Florida	2013	90
Indian Creek village	Florida	2014	91
Indian Creek village	Florida	2015	91
Islamorada, Village of Islands village	Florida	2010	6109
Islamorada, Village of Islands village	Florida	2011	6126
Islamorada, Village of Islands village	Florida	2012	6197
Islamorada, Village of Islands village	Florida	2013	6275
Islamorada, Village of Islands village	Florida	2014	6406
Islamorada, Village of Islands village	Florida	2015	6500
Key Biscayne village	Florida	2010	12344
Key Biscayne village	Florida	2011	12395
Key Biscayne village	Florida	2012	12724
Key Biscayne village	Florida	2013	12854
Key Biscayne village	Florida	2014	12943
Key Biscayne village	Florida	2015	12957
Lazy Lake village	Florida	2010	24
Lazy Lake village	Florida	2011	24
Lazy Lake village	Florida	2012	25
Lazy Lake village	Florida	2013	25
Lazy Lake village	Florida	2014	25
Lazy Lake village	Florida	2015	25
Miami Shores village	Florida	2010	10329
Miami Shores village	Florida	2011	10406
Miami Shores village	Florida	2012	10687
Miami Shores village	Florida	2013	10855
Miami Shores village	Florida	2014	10650
Miami Shores village	Florida	2015	10885
North Palm Beach village	Florida	2010	12013
North Palm Beach village	Florida	2011	12038
North Palm Beach village	Florida	2012	12143
North Palm Beach village	Florida	2013	12293
North Palm Beach village	Florida	2014	12376
North Palm Beach village	Florida	2015	12490
Palmetto Bay village	Florida	2010	23408
Palmetto Bay village	Florida	2011	23499
Palmetto Bay village	Florida	2012	24115
Palmetto Bay village	Florida	2013	24354
Palmetto Bay village	Florida	2014	24547
Palmetto Bay village	Florida	2015	24574
Palm Springs village	Florida	2010	21137
Palm Springs village	Florida	2011	21177
Palm Springs village	Florida	2012	21380
Palm Springs village	Florida	2013	21662
Palm Springs village	Florida	2014	21797
Palm Springs village	Florida	2015	22064
Pinecrest village	Florida	2010	18223
Pinecrest village	Florida	2011	18300
Pinecrest village	Florida	2012	18812
Pinecrest village	Florida	2013	19033
Pinecrest village	Florida	2014	19210
Pinecrest village	Florida	2015	19299
Royal Palm Beach village	Florida	2010	34140
Royal Palm Beach village	Florida	2011	34237
Royal Palm Beach village	Florida	2012	34602
Royal Palm Beach village	Florida	2013	35211
Royal Palm Beach village	Florida	2014	36363
Royal Palm Beach village	Florida	2015	37032
Sea Ranch Lakes village	Florida	2010	670
Sea Ranch Lakes village	Florida	2011	672
Sea Ranch Lakes village	Florida	2012	683
Sea Ranch Lakes village	Florida	2013	696
Sea Ranch Lakes village	Florida	2014	705
Sea Ranch Lakes village	Florida	2015	712
Tequesta village	Florida	2010	5634
Tequesta village	Florida	2011	5647
Tequesta village	Florida	2012	5702
Tequesta village	Florida	2013	5774
Tequesta village	Florida	2014	5817
Tequesta village	Florida	2015	5878
