City	Incorporation	State	Year	Population
Anchorage 	municipality	Alaska	2010	293405
Anchorage 	municipality	Alaska	2011	296333
Anchorage 	municipality	Alaska	2012	298613
Anchorage 	municipality	Alaska	2013	301537
Anchorage 	municipality	Alaska	2014	300357
Anchorage 	municipality	Alaska	2015	298695
Fairbanks North Star 	borough	Alaska	2010	98289
Fairbanks North Star 	borough	Alaska	2011	98146
Fairbanks North Star 	borough	Alaska	2012	100370
Fairbanks North Star 	borough	Alaska	2013	101007
Fairbanks North Star 	borough	Alaska	2014	99371
Fairbanks North Star 	borough	Alaska	2015	99631
Fairbanks North Star 	borough	Alaska	2010	64406
Fairbanks North Star 	borough	Alaska	2011	65131
Fairbanks North Star 	borough	Alaska	2012	65621
Fairbanks North Star 	borough	Alaska	2013	65773
Fairbanks North Star 	borough	Alaska	2014	64951
Fairbanks North Star 	borough	Alaska	2015	65117
Kenai Peninsula 	borough	Alaska	2010	55573
Kenai Peninsula 	borough	Alaska	2011	56375
Kenai Peninsula 	borough	Alaska	2012	56961
Kenai Peninsula 	borough	Alaska	2013	57070
Kenai Peninsula 	borough	Alaska	2014	57638
Kenai Peninsula 	borough	Alaska	2015	58059
Matanuska-Susitna 	borough	Alaska	2010	89761
Matanuska-Susitna 	borough	Alaska	2011	91841
Matanuska-Susitna 	borough	Alaska	2012	93791
Matanuska-Susitna 	borough	Alaska	2013	95877
Matanuska-Susitna 	borough	Alaska	2014	98285
Matanuska-Susitna 	borough	Alaska	2015	101095
Matanuska-Susitna 	borough	Alaska	2010	73921
Matanuska-Susitna 	borough	Alaska	2011	75535
Matanuska-Susitna 	borough	Alaska	2012	76984
Matanuska-Susitna 	borough	Alaska	2013	78828
Matanuska-Susitna 	borough	Alaska	2014	80762
Matanuska-Susitna 	borough	Alaska	2015	82817
Acadia 	parish	Louisiana	2010	61856
Acadia 	parish	Louisiana	2011	61763
Acadia 	parish	Louisiana	2012	61850
Acadia 	parish	Louisiana	2013	62125
Acadia 	parish	Louisiana	2014	62498
Acadia 	parish	Louisiana	2015	62577
Ascension 	parish	Louisiana	2010	107849
Ascension 	parish	Louisiana	2011	110062
Ascension 	parish	Louisiana	2012	112227
Ascension 	parish	Louisiana	2013	114581
Ascension 	parish	Louisiana	2014	117364
Ascension 	parish	Louisiana	2015	119455
Ascension 	parish	Louisiana	2010	89171
Ascension 	parish	Louisiana	2011	91195
Ascension 	parish	Louisiana	2012	93090
Ascension 	parish	Louisiana	2013	95298
Ascension 	parish	Louisiana	2014	97663
Ascension 	parish	Louisiana	2015	99403
Bossier 	parish	Louisiana	2010	117625
Bossier 	parish	Louisiana	2011	120045
Bossier 	parish	Louisiana	2012	123145
Bossier 	parish	Louisiana	2013	123883
Bossier 	parish	Louisiana	2014	124769
Bossier 	parish	Louisiana	2015	125175
Caddo 	parish	Louisiana	2010	255692
Caddo 	parish	Louisiana	2011	257005
Caddo 	parish	Louisiana	2012	257346
Caddo 	parish	Louisiana	2013	255198
Caddo 	parish	Louisiana	2014	252702
Caddo 	parish	Louisiana	2015	251460
Calcasieu 	parish	Louisiana	2010	193106
Calcasieu 	parish	Louisiana	2011	193817
Calcasieu 	parish	Louisiana	2012	194499
Calcasieu 	parish	Louisiana	2013	195493
Calcasieu 	parish	Louisiana	2014	196839
Calcasieu 	parish	Louisiana	2015	198788
Calcasieu 	parish	Louisiana	2010	86254
Calcasieu 	parish	Louisiana	2011	86649
Calcasieu 	parish	Louisiana	2012	86506
Calcasieu 	parish	Louisiana	2013	87131
Calcasieu 	parish	Louisiana	2014	87618
Calcasieu 	parish	Louisiana	2015	88179
