City	Incorporation	State	Year	Population
East Baton Rouge 	parish	Louisiana	2010	440722
East Baton Rouge 	parish	Louisiana	2011	441371
East Baton Rouge 	parish	Louisiana	2012	444135
East Baton Rouge 	parish	Louisiana	2013	445129
East Baton Rouge 	parish	Louisiana	2014	446064
East Baton Rouge 	parish	Louisiana	2015	446753
Jefferson 	parish	Louisiana	2010	432741
Jefferson 	parish	Louisiana	2011	434018
Jefferson 	parish	Louisiana	2012	434413
Jefferson 	parish	Louisiana	2013	435217
Jefferson 	parish	Louisiana	2014	435536
Jefferson 	parish	Louisiana	2015	436275
Orleans 	parish	Louisiana	2011	360779
Orleans 	parish	Louisiana	2012	370011
Orleans 	parish	Louisiana	2013	378921
Orleans 	parish	Louisiana	2014	384360
Orleans 	parish	Louisiana	2015	389617
Mesa 	city	Arizona	2010	440853
Mesa 	city	Arizona	2011	445450
Mesa 	city	Arizona	2012	452855
Mesa 	city	Arizona	2013	458897
Mesa 	city	Arizona	2014	465378
Mesa 	city	Arizona	2015	471825
Anaheim 	city	California	2015	350742
Bakersfield 	city	California	2011	353581
Bakersfield 	city	California	2012	358106
Bakersfield 	city	California	2013	363956
Bakersfield 	city	California	2014	368694
Bakersfield 	city	California	2015	373640
Fresno 	city	California	2010	496967
Long Beach 	city	California	2010	462633
Long Beach 	city	California	2011	465533
Long Beach 	city	California	2012	468601
Long Beach 	city	California	2013	470536
Long Beach 	city	California	2014	472430
Long Beach 	city	California	2015	474140
Oakland 	city	California	2010	391752
Oakland 	city	California	2011	396786
Oakland 	city	California	2012	402074
Oakland 	city	California	2013	407885
Oakland 	city	California	2014	414339
Oakland 	city	California	2015	419267
Sacramento 	city	California	2010	467595
Sacramento 	city	California	2011	471604
Sacramento 	city	California	2012	475515
Sacramento 	city	California	2013	479955
Sacramento 	city	California	2014	484990
Sacramento 	city	California	2015	490712
Aurora 	city	Colorado	2014	352706
Aurora 	city	Colorado	2015	359407
Colorado Springs 	city	Colorado	2010	420644
Colorado Springs 	city	Colorado	2011	428031
Colorado Springs 	city	Colorado	2012	434576
Colorado Springs 	city	Colorado	2013	442102
Colorado Springs 	city	Colorado	2014	448961
Colorado Springs 	city	Colorado	2015	456568
Miami 	city	Florida	2010	401054
Miami 	city	Florida	2011	412464
Miami 	city	Florida	2012	416952
Miami 	city	Florida	2013	421410
Miami 	city	Florida	2014	431376
Miami 	city	Florida	2015	441003
Tampa 	city	Florida	2013	353199
Tampa 	city	Florida	2014	360021
Tampa 	city	Florida	2015	369075
Atlanta 	city	Georgia	2010	422753
Atlanta 	city	Georgia	2011	432092
Atlanta 	city	Georgia	2012	444002
Atlanta 	city	Georgia	2013	448312
Atlanta 	city	Georgia	2014	456143
Atlanta 	city	Georgia	2015	463878
Wichita 	city	Kansas	2010	382872
Wichita 	city	Kansas	2011	383818
Wichita 	city	Kansas	2012	385865
Wichita 	city	Kansas	2013	387419
Wichita 	city	Kansas	2014	388812
Wichita 	city	Kansas	2015	389965
New Orleans 	city	Louisiana	2011	360779
New Orleans 	city	Louisiana	2012	370011
New Orleans 	city	Louisiana	2013	378921
New Orleans 	city	Louisiana	2014	384360
New Orleans 	city	Louisiana	2015	389617
Minneapolis 	city	Minnesota	2010	383083
Minneapolis 	city	Minnesota	2011	388277
Minneapolis 	city	Minnesota	2012	392913
Minneapolis 	city	Minnesota	2013	400478
Minneapolis 	city	Minnesota	2014	407209
Minneapolis 	city	Minnesota	2015	410939
Kansas City 	city	Missouri	2010	460732
Kansas City 	city	Missouri	2011	462091
Kansas City 	city	Missouri	2012	464511
Kansas City 	city	Missouri	2013	467251
