City	Incorporation	State	Year	Population
Millbrook	city (pt.)	Alabama	2010	144
Millbrook	city (pt.)	Alabama	2011	145
Millbrook	city (pt.)	Alabama	2012	144
Millbrook	city (pt.)	Alabama	2013	144
Millbrook	city (pt.)	Alabama	2014	146
Millbrook	city (pt.)	Alabama	2015	148
Prattville	city (pt.)	Alabama	2010	32269
Prattville	city (pt.)	Alabama	2011	32798
Prattville	city (pt.)	Alabama	2012	32844
Prattville	city (pt.)	Alabama	2013	33117
Prattville	city (pt.)	Alabama	2014	33370
Prattville	city (pt.)	Alabama	2015	33513
Vance	town (pt.)	Alabama	2010	49
Vance	town (pt.)	Alabama	2011	48
Vance	town (pt.)	Alabama	2012	48
Vance	town (pt.)	Alabama	2013	48
Vance	town (pt.)	Alabama	2014	48
Vance	town (pt.)	Alabama	2015	48
Woodstock	town (pt.)	Alabama	2010	1319
Woodstock	town (pt.)	Alabama	2011	1323
Woodstock	town (pt.)	Alabama	2012	1340
Woodstock	town (pt.)	Alabama	2013	1362
Woodstock	town (pt.)	Alabama	2014	1399
Woodstock	town (pt.)	Alabama	2015	1440
Altoona	town (pt.)	Alabama	2010	30
Altoona	town (pt.)	Alabama	2011	30
Altoona	town (pt.)	Alabama	2012	30
Altoona	town (pt.)	Alabama	2013	30
Altoona	town (pt.)	Alabama	2014	30
Altoona	town (pt.)	Alabama	2015	30
County Line	town (pt.)	Alabama	2010	197
County Line	town (pt.)	Alabama	2011	199
County Line	town (pt.)	Alabama	2012	199
County Line	town (pt.)	Alabama	2013	201
County Line	town (pt.)	Alabama	2014	201
County Line	town (pt.)	Alabama	2015	201
McKenzie	town (pt.)	Alabama	2010	522
McKenzie	town (pt.)	Alabama	2011	516
McKenzie	town (pt.)	Alabama	2012	509
McKenzie	town (pt.)	Alabama	2013	507
McKenzie	town (pt.)	Alabama	2014	507
McKenzie	town (pt.)	Alabama	2015	505
Glencoe	city (pt.)	Alabama	2010	38
Glencoe	city (pt.)	Alabama	2011	38
Glencoe	city (pt.)	Alabama	2012	38
Glencoe	city (pt.)	Alabama	2013	37
Glencoe	city (pt.)	Alabama	2014	37
Glencoe	city (pt.)	Alabama	2015	37
Oxford	city (pt.)	Alabama	2010	17186
Oxford	city (pt.)	Alabama	2011	17164
Oxford	city (pt.)	Alabama	2012	17118
Oxford	city (pt.)	Alabama	2013	17073
Oxford	city (pt.)	Alabama	2014	17027
Oxford	city (pt.)	Alabama	2015	17086
Piedmon	city (pt.)	Alabama	2010	4869
Piedmon	city (pt.)	Alabama	2011	4832
Piedmon	city (pt.)	Alabama	2012	4798
Piedmon	city (pt.)	Alabama	2013	4767
Piedmon	city (pt.)	Alabama	2014	4739
Piedmon	city (pt.)	Alabama	2015	4714
Southside	city (pt.)	Alabama	2010	155
Southside	city (pt.)	Alabama	2011	154
Southside	city (pt.)	Alabama	2012	154
Southside	city (pt.)	Alabama	2013	154
Southside	city (pt.)	Alabama	2014	154
Southside	city (pt.)	Alabama	2015	153
Waverly	town (pt.)	Alabama	2010	98
Waverly	town (pt.)	Alabama	2011	98
Waverly	town (pt.)	Alabama	2012	98
Waverly	town (pt.)	Alabama	2013	98
Waverly	town (pt.)	Alabama	2014	98
Waverly	town (pt.)	Alabama	2015	98
Collinsville	town (pt.)	Alabama	2010	21
Collinsville	town (pt.)	Alabama	2011	21
Collinsville	town (pt.)	Alabama	2012	21
Collinsville	town (pt.)	Alabama	2013	21
Collinsville	town (pt.)	Alabama	2014	21
Collinsville	town (pt.)	Alabama	2015	21
Sand Rock	town (pt.)	Alabama	2010	534
Sand Rock	town (pt.)	Alabama	2011	537
Sand Rock	town (pt.)	Alabama	2012	534
Sand Rock	town (pt.)	Alabama	2013	536
Sand Rock	town (pt.)	Alabama	2014	535
Sand Rock	town (pt.)	Alabama	2015	532
Calera	city (pt.)	Alabama	2010	90
Calera	city (pt.)	Alabama	2011	92
Calera	city (pt.)	Alabama	2012	94
Calera	city (pt.)	Alabama	2013	97
Calera	city (pt.)	Alabama	2014	99
Calera	city (pt.)	Alabama	2015	101
Enterprise	city (pt.)	Alabama	2010	26295
Enterprise	city (pt.)	Alabama	2011	26673
Enterprise	city (pt.)	Alabama	2012	27263
Enterprise	city (pt.)	Alabama	2013	27129
Enterprise	city (pt.)	Alabama	2014	27246
Enterprise	city (pt.)	Alabama	2015	27494
McKenzie	town (pt.)	Alabama	2010	8
McKenzie	town (pt.)	Alabama	2011	8
McKenzie	town (pt.)	Alabama	2012	8
McKenzie	town (pt.)	Alabama	2013	8
McKenzie	town (pt.)	Alabama	2014	8
McKenzie	town (pt.)	Alabama	2015	8
Arab	city (pt.)	Alabama	2010	27
Arab	city (pt.)	Alabama	2011	27
Arab	city (pt.)	Alabama	2012	27
Arab	city (pt.)	Alabama	2013	27
Arab	city (pt.)	Alabama	2014	27
Arab	city (pt.)	Alabama	2015	27
Garden City	town (pt.)	Alabama	2010	492
Garden City	town (pt.)	Alabama	2011	493
Garden City	town (pt.)	Alabama	2012	490
Garden City	town (pt.)	Alabama	2013	490
Garden City	town (pt.)	Alabama	2014	490
Garden City	town (pt.)	Alabama	2015	496
Dothan	city (pt.)	Alabama	2010	1218
Dothan	city (pt.)	Alabama	2011	1209
Dothan	city (pt.)	Alabama	2012	1219
Dothan	city (pt.)	Alabama	2013	1221
Dothan	city (pt.)	Alabama	2014	1222
Dothan	city (pt.)	Alabama	2015	1233
Enterprise	city (pt.)	Alabama	2010	478
Enterprise	city (pt.)	Alabama	2011	478
Enterprise	city (pt.)	Alabama	2012	488
Enterprise	city (pt.)	Alabama	2013	484
Enterprise	city (pt.)	Alabama	2014	484
Enterprise	city (pt.)	Alabama	2015	484
Collinsville	town (pt.)	Alabama	2010	1963
Collinsville	town (pt.)	Alabama	2011	1968
Collinsville	town (pt.)	Alabama	2012	1955
Collinsville	town (pt.)	Alabama	2013	1952
Collinsville	town (pt.)	Alabama	2014	1954
Collinsville	town (pt.)	Alabama	2015	1952
Sand Rock	town (pt.)	Alabama	2010	26
Sand Rock	town (pt.)	Alabama	2011	26
Sand Rock	town (pt.)	Alabama	2012	26
Sand Rock	town (pt.)	Alabama	2013	26
Sand Rock	town (pt.)	Alabama	2014	26
Sand Rock	town (pt.)	Alabama	2015	26
Millbrook	city (pt.)	Alabama	2010	14526
Millbrook	city (pt.)	Alabama	2011	14672
